Node,Metric,Mean,Median,Standard Deviation
32,closeness,0.07199141873138148,0.028371575807015548,0.07371122094691772
32,clustering,0.013431470814921243,0.00816608153615117,0.002052576928884402
32,degree,1.4928641147645862,1.4876164434909498,0.0925533967091785
33,closeness,0.06287741015581583,0.0716246333734245,0.012177687210804089
33,clustering,0.00661201840647363,0.003114341329755743,0.003869909026516599
33,degree,0.22044406650253734,0.24532321390729805,0.5830417323619872
34,closeness,0.05706621257414124,0.10004279120647563,0.023929408503574806
34,clustering,0.008424652202921212,0.007081322947143698,0.0058440296461952
34,degree,0.6057401881637077,0.16536811876525803,0.9608784517439295
35,closeness,0.08404734190215257,0.0793397827797011,0.036653764440899204
35,clustering,0.018291592294779502,0.012031566227033053,0.0015222730264395998
35,degree,2.2799443162704165,2.0482851795386097,0.3148099744173045
36,closeness,0.11118329262492788,0.0994993354605842,0.06251387051444701
36,clustering,0.01910841428738763,0.01707951952600284,0.0009153140878774002
36,degree,2.304308978125988,2.225572154424107,0.040369095231557406
37,closeness,0.1084029035358427,0.09517352777035382,0.0872862900645543
37,clustering,0.02166458086255496,0.027980579396588268,0.009685616253533902
37,degree,2.876126268473584,3.182779689139984,0.9629294308421512
38,closeness,0.10340354474277902,0.07388093379778593,0.1001218252013299
38,clustering,0.013797399813332722,0.01582134468595109,0.012038915097119402
38,degree,1.4247991198709684,1.4016374630285782,1.452447088460464
39,closeness,0.09228597535108718,0.09116901804219046,0.053821839338422786
39,clustering,0.008584871520388004,0.010913284906828413,0.0031940472681194
39,degree,0.46549507157123315,0.20120319756984628,0.45764107849101743
40,closeness,0.010082817210603112,0.0025686899970536192,0.0034604838459666998
40,clustering,0.0028594152515907245,0.009480420628667385,0.0023511888265361977
40,degree,0.9911279854468233,2.0350674822787127,0.3918863154675676
41,closeness,0.08584129782889716,0.06053171197070206,0.11026187932161699
41,clustering,0.015670338038721643,0.017407365586112222,0.0110245193583754
41,degree,1.8312778495435467,1.7553041260757212,1.4032008295565244
42,closeness,0.06852586983359621,0.056093759667910525,0.08723284487640601
42,clustering,0.011997161721034932,0.007218240420827304,0.002438193208232898
42,degree,1.2080043870141566,0.770763875033893,0.08959034290448731
43,closeness,0.05174679835574625,0.051144713392645924,0.012527115571423608
43,clustering,0.016677095137704545,0.011405216201228474,0.0036268258649192996
43,degree,2.2841582960367006,2.0416335911274857,0.9207191109748354
44,closeness,0.08517946005822274,0.04406633586571007,0.0416693419694613
44,clustering,0.01770057652569379,0.012136173448732523,0.0024814018245559993
44,degree,2.328801886524431,2.2138733481143476,0.28902507686377543
45,closeness,0.06335047130856908,0.054906091281420544,0.003200505589878
45,clustering,0.016066658365597397,0.0069697735920920545,0.0008947291041883007
45,degree,2.0545788604661794,0.982631984946778,0.3660840203805953
46,closeness,0.08260062597349282,0.058024683729576365,0.033523448952063106
46,clustering,0.01544064638134146,0.011561599741288453,0.00018940908079450106
